RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
1	10307015	10694198	14.2637	10.1303	14:15:49N	10:07:49E	32PPA2192977187	ND32-07	L	RESF		NG	07				N			Forêt Classée	FORETCLASSEEDEKELLE	Forêt Classée de Kellé	Foret Classee de Kelle	KELLE FORETCLASSEEDE	Kellé, Forêt Classée de	Kelle, Foret Classee de		2008-09-18	1,2,3,4	1			2008-09-19		
1	10306982	10694165	14.3093	10.185	14:18:33N	10:11:06E	32PPA2780482260	ND32-07	L	RESF		NG	07				N			Forêt Classée	FORETCLASSEEDEKOURABAORI	Forêt Classée de Kourabaori	Foret Classee de Kourabaori	KOURABAORI FORETCLASSEEDE	Kourabaori, Forêt Classée de	Kourabaori, Foret Classee de		2008-09-18	1,2,3,4	1			2008-09-19		
1	6329945	6541314	16.308611	7.100833	16:18:31N	7:06:03E	32QKD9708804017	NE32-13	L	AREA		NG	01				V				INJARHAREN	Injarharén	Injarharen	INJARHAREN	Injarharén	Injarharen		2006-09-15	1,2,3,4,5,6,7				2008-09-02		
1	6329945	10647358	16.308611	7.100833	16:18:31N	7:06:03E	32QKD9708804017	NE32-13	L	AREA		NG	01				N				INJAGHAREN	Injagharén	Injagharen	INJAGHAREN	Injagharén	Injagharen		2006-09-15	1,2,3,4,5,6,7	1			2008-09-02		
1	6329957	6541326	16.336667	7.737778	16:20:12N	7:44:16E	32QLD6517206594	NE32-14	L	LCTY		NG	01				N				TEDEMT	Tédémt	Tedemt	TEDEMT	Tédémt	Tedemt		2006-09-15	1,2,3,4	1			2008-09-02		
1	6329963	6541332	16.485	7.785278	16:29:06N	7:47:07E	32QLD7034522975	NE32-14	L	LCTY		NG	01				V				TALABARHET	Talabarhét	Talabarhet	TALABARHET	Talabarhét	Talabarhet		2006-09-15	1,2,3,4,5,6,7				2008-09-02		
1	6329963	10647360	16.485	7.785278	16:29:06N	7:47:07E	32QLD7034522975	NE32-14	L	LCTY		NG	01				N				TALABAGHET	Talabaghét	Talabaghet	TALABAGHET	Talabaghét	Talabaghet		2006-09-15	1,2,3,4,5,6,7	1			2008-09-02		
3	6329964	6541333	16.4608	7.8643	16:27:39N	7:51:51E	32QLD7876520248	NE32-14	L	LCTY		NG	01				N				SOVINTAS	Sovintas	Sovintas	SOVINTAS	Sovintas	Sovintas		2008-09-02	1,2,3,4	1			1993-09-01		
3	6329856	6541170	16.6718	8.4632	16:40:18N	8:27:48E	32QMD4276243325	NE32-14	L	LCTY		NG	01				N				SOLOTO	Soloto	Soloto	SOLOTO	Soloto	Soloto		2008-10-16	1,2,3,4	1			1993-09-01		
3	6329858	6541172	16.6382	8.5816	16:38:18N	8:34:54E	32QMD5537939578	NE32-14	L	LCTY		NG	01				N				ALAGAS	Alagas	Alagas	ALAGAS	Alagas	Alagas		2008-10-16	1,2,3,4	1			1993-09-01		
3	6329761	6541054	16.1009	8.6111	16:06:03N	8:36:40E	32QMC5841280136	NE32-14	L	LCTY		NG	01				N				BANKA	Banka	Banka	BANKA	Banka	Banka		2008-10-16	1,2,3,4	1			1993-09-01		
3	6329844	6541148	16.2439	8.4015	16:14:38N	8:24:05E	32QMC3604396008	NE32-14	L	AREA		NG	01				N				ELGHECH	Elghech	Elghech	ELGHECH	Elghech	Elghech		2008-10-16	1,2,3,4	1			1993-09-01		
3	6329844	6541149	16.2439	8.4015	16:14:38N	8:24:05E	32QMC3604396008	NE32-14	L	AREA		NG	01				V				ELRHECH	Elrhech	Elrhech	ELRHECH	Elrhech	Elrhech		2008-10-16	1,2,3,4				1993-09-01		
3	6329845	6541150	16.5558	8.4841	16:33:21N	8:29:03E	32QMD4495830487	NE32-14	L	AREA		NG	01				N				IKAGHAGHANE	Ikaghaghane	Ikaghaghane	IKAGHAGHANE	Ikaghaghane	Ikaghaghane		2008-10-16	1,2,3,4	1			1993-09-01		
3	6329845	6541151	16.5558	8.4841	16:33:21N	8:29:03E	32QMD4495830487	NE32-14	L	AREA		NG	01				V				IKARHARHANE	Ikarharhane	Ikarharhane	IKARHARHANE	Ikarharhane	Ikarharhane		2008-10-16	1,2,3,4				1993-09-01		
3	6329848	6541157	16.1594	8.8941	16:09:34N	8:53:39E	32QMC8867986570	NE32-14	L	LCTY		NG	01				V				IGUITENEOUINTEBERERHITOUNEGANE	Iguîtene Oui-n-Tébérerhit Ounégane	Iguitene Oui-n-Tebererhit Ounegane	IGUITENEOUINTEBERERHITOUNEGANE	Iguîtene Oui-n-Tébérerhit Ounégane	Iguitene Oui-n-Tebererhit Ounegane		2008-10-16	1,2,3,4				1993-09-01		
3	6329848	6541156	16.1594	8.8941	16:09:34N	8:53:39E	32QMC8867986570	NE32-14	L	LCTY		NG	01				N				IGUITENEOUINTEBEREGHITOUNEGANE	Iguîtene Oui-n-Tébéreghit Ounégane	Iguitene Oui-n-Tebereghit Ounegane	IGUITENEOUINTEBEREGHITOUNEGANE	Iguîtene Oui-n-Tébéreghit Ounégane	Iguitene Oui-n-Tebereghit Ounegane		2008-10-16	1,2,3,4	1			1993-09-01		
3	6329850	6541160	16.7904	8.9225	16:47:25N	8:55:21E	32QMD9174256370	NE32-14	L	LCTY		NG	01				N				AMHAGHAKA	Amhaghaka	Amhaghaka	AMHAGHAKA	Amhaghaka	Amhaghaka		2008-10-16	1,2,3,4	1			1993-09-01		
3	6329850	6541161	16.7904	8.9225	16:47:25N	8:55:21E	32QMD9174256370	NE32-14	L	LCTY		NG	01				V				AMHARHAKA	Amharhaka	Amharhaka	AMHARHAKA	Amharhaka	Amharhaka		2008-10-16	1,2,3,4				1993-09-01		
3	6329851	6541163	16.7601	8.9545	16:45:36N	8:57:16E	32QMD9515153017	NE32-14	L	LCTY		NG	01				V				ARHLALNAGAR	Arhlal-n-Agar	Arhlal-n-Agar	ARHLALNAGAR	Arhlal-n-Agar	Arhlal-n-Agar		2008-10-16	1,2,3,4				1993-09-01		
3	6329851	6541162	16.7601	8.9545	16:45:36N	8:57:16E	32QMD9515153017	NE32-14	L	LCTY		NG	01				N				AGHLALNAGAR	Aghlal-n-Agar	Aghlal-n-Agar	AGHLALNAGAR	Aghlal-n-Agar	Aghlal-n-Agar		2008-10-16	1,2,3,4	1			1993-09-01		
3	6329843	6541146	16.3057	8.6207	16:18:21N	8:37:15E	32QMD5948002788	NE32-14	L	AREA		NG	01				N				GHALALIGUERENE	Ghala Liguerene	Ghala Liguerene	GHALALIGUERENE	Ghala Liguerene	Ghala Liguerene		2008-10-16	1,2,3,4	1			1993-09-01		
3	6329843	6541147	16.3057	8.6207	16:18:21N	8:37:15E	32QMD5948002788	NE32-14	L	AREA		NG	01				V				RHALALIGUERENE	Rhala Liguerene	Rhala Liguerene	RHALALIGUERENE	Rhala Liguerene	Rhala Liguerene		2008-10-16	1,2,3,4				1993-09-01		
1	10322299	10721090	14.849863	.289344	14:51:00N	0:17:22E	31PBS0828743490	ND31-05	L	LCTY		NG	09				N				GAOUITONDI	Gaoui Tondi	Gaoui Tondi	GAOUITONDI	Gaoui Tondi	Gaoui Tondi		2008-10-17	1,2,3,4	1			2008-10-17		
1	10322305	10721096	14.784402	.464664	14:47:04N	0:27:53E	31PBS2708336022	ND31-05	L	LCTY		NG	09				N				SATAMALI	Satamali	Satamali	SATAMALI	Satamali	Satamali		2008-10-17	1,2,3,4	1			2008-10-17		
1	6329994	6541363	16.402778	7.959722	16:24:10N	7:57:35E	32QLD8892013774	NE32-14	L	LCTY		NG	01				V				APALATOUAY	Apalatouay	Apalatouay	APALATOUAY	Apalatouay	Apalatouay		2006-09-15	1,2,3,4				2008-09-02		
1	6329994	6541364	16.402778	7.959722	16:24:10N	7:57:35E	32QLD8892013774	NE32-14	L	LCTY		NG	01				N				APALATWAY	Apalatway	Apalatway	APALATWAY	Apalatway	Apalatway		2006-09-15	1,2,3,4	1			2008-09-02		
1	6329923	6541292	16.629167	7.837778	16:37:45N	7:50:16E	32QLD7604138892	NE32-14	L	LCTY		NG	01				V				SAKNAGIAR	Saknagiar	Saknagiar	SAKNAGIAR	Saknagiar	Saknagiar		2006-09-15	1,2,3,4				2008-09-02		
1	6329923	10647355	16.629167	7.837778	16:37:45N	7:50:16E	32QLD7604138892	NE32-14	L	LCTY		NG	01				N				SAKNAGAR	Saknagar	Saknagar	SAKNAGAR	Saknagar	Saknagar		2006-09-15	1,2,3,4	1			2008-09-02		
1	6329929	6541298	16.579167	7.654722	16:34:45N	7:39:17E	32QLD5647733482	NE32-14	L	LCTY		NG	01				N				TEGIFENTOROUF	Tegif Én Torouf	Tegif En Torouf	TEGIFENTOROUF	Tegif Én Torouf	Tegif En Torouf		2006-09-15	1,2,3,4	1			2008-09-02		
1	6329933	6541302	16.513889	7.518333	16:30:50N	7:31:06E	32QLD4187126362	NE32-14	L	LCTY		NG	01				V				ASRHOUR	Asrhour	Asrhour	ASRHOUR	Asrhour	Asrhour		2006-09-15	1,2,3,4,5,6,7				2008-09-02		
1	6329933	10647356	16.513889	7.518333	16:30:50N	7:31:06E	32QLD4187126362	NE32-14	L	LCTY		NG	01				N				ASGHOUR	Asghour	Asghour	ASGHOUR	Asghour	Asghour		2006-09-15	1,2,3,4,5,6,7	1			2008-09-02		
3	6329818	6541116	16.3323	8.908	16:19:56N	8:54:29E	32QMD9017305695	NE32-14	L	AREA		NG	01				N				INALAKAT	I-n-Alakat	I-n-Alakat	INALAKAT	I-n-Alakat	I-n-Alakat		2008-10-16	1,2,3,4	1			1993-09-01		
1	10322244	10721035	14.886831	.430391	14:53:13N	0:25:49E	31PBS2352247403	ND31-05	L	AREA		NG	09				N				TANDADO	Tandado	Tandado	TANDADO	Tandado	Tandado		2008-10-17	1,2,3,4	1			2008-10-17		
1	10322247	10721038	14.957272	.412657	14:57:26N	0:24:46E	31PBS2170455223	ND31-05	L	AREA		NG	09				N				MBEBOUMPO	Mbéboumpo	Mbeboumpo	MBEBOUMPO	Mbéboumpo	Mbeboumpo		2008-10-17	1,2,3,4	1			2008-10-17		
3	6329766	6541059	16.201	8.5689	16:12:04N	8:34:08E	32QMC5392291217	NE32-14	L	LCTY		NG	01				N				TINHARANE	Ti-n-Harane	Ti-n-Harane	TINHARANE	Ti-n-Harane	Ti-n-Harane		2008-10-16	1,2,3,4	1			1993-09-01		
3	6329767	6541060	16.2527	8.5643	16:15:10N	8:33:51E	32QMC5344296938	NE32-14	L	LCTY		NG	01				N				TINARIDAL	Ti-n-Âridal	Ti-n-Aridal	TINARIDAL	Ti-n-Âridal	Ti-n-Aridal		2008-10-16	1,2,3,4	1			1993-09-01		
1	10399541	10875685	12.702624	1.822856	12:42:09N	1:49:22E	31PCQ7219004539	ND31-14	L	LCTY		NG	09				N				TASSIA	Tassia	Tassia	TASSIA	Tassia	Tassia		2008-12-09	1,2,3,4	1			2008-12-09		
3	-1080402	-1602800	12.954558	1.698587	12:57:16N	1:41:55E	31PCQ5883632470	ND31-14	L	RESF		NG	09				N				FORETCLASSEEDEFAYRA	Forêt Classée de Fayra	Foret Classee de Fayra	FAYRA FORETCLASSEEDE	Fayra, Forêt Classée de	Fayra, Foret Classee de		2008-12-10	1,2,3,4,5	1			1993-09-01		
1	-1083486	-1607085	12.231109	3.082185	12:13:52N	3:04:56E	31PEP0893952111	ND31-15	L	RESF		NG	03				N			Forêt Classée	FORETCLASSEEDEKOULOU	Forêt Classée de Koulou	Foret Classee de Koulou	KOULOU FORETCLASSEEDE	Koulou, Forêt Classée de	Koulou, Foret Classee de		2009-02-18	1,2,3,4,5	1			2009-02-18		
1	10437377	10941910	12.273497	3.556356	12:16:25N	3:33:23E	31PEP6050456859	ND31-15	L	LCTY		NG	03				N				AOUDEIJE	Aoudeïjé	Aoudeije	AOUDEIJE	Aoudeïjé	Aoudeije		2009-02-17	1,2,3,4	1			2009-02-17		
1	-1078246	-1599870	12.093404	3.525529	12:05:36N	3:31:32E	31PEP5719036937	ND31-15	L	RESP		NG	03				N			Roneraie	RONERAIEDEBANA	Roneraie de Bana	Roneraie de Bana	BANA RONERAIEDE	Bana, Roneraie de	Bana, Roneraie de		2009-01-26	1,2,3,4,5	1			2009-01-26		
1	-1081234	-1604093	11.942718	3.388984	11:56:34N	3:23:20E	31PEP4235420249	NC31-03	L	RESF		NG	03				N				FORETCLASSEEDEGOUROUBASSOUNGA	Forêt Classée de Gourou-Bassounga	Foret Classee de Gourou-Bassounga	GOUROUBASSOUNGA FORETCLASSEEDE	Gourou-Bassounga, Forêt Classée de	Gourou-Bassounga, Foret Classee de		2008-12-29	1,2,3,4,5	1			2008-12-29		
1	-1080467	-1602888	12.347296	3.381529	12:20:50N	3:22:54E	31PEP4147964987	ND31-15	L	RESF		NG	03				V			Foret Classée	FORETCLASSEEDUFOGHABERI	Foret Classée du Fogha Béri	Foret Classee du Fogha Beri	FOGHABERI FORETCLASSEEDU	Fogha Béri, Foret Classée du	Fogha Beri, Foret Classee du		2009-02-17	1,2,3,4,5				2009-02-17		
1	-1080467	10942208	12.347296	3.381529	12:20:50N	3:22:54E	31PEP4147964987	ND31-15	L	RESF		NG	03				N			Forêt Classée	FORETCLASSEEDUFOGABERI	Forêt Classée du Foga Béri	Foret Classee du Foga Beri	FOGABERI FORETCLASSEEDU	Foga Béri, Forêt Classée du	Foga Beri, Foret Classee du		2009-02-17	1,2,3,4,5	1			2009-02-17		
1	10437378	10941911	12.303366	3.54016	12:18:12N	3:32:25E	31PEP5873660159	ND31-15	L	LCTY		NG	03				N				DALLOL	Dallol	Dallol	DALLOL	Dallol	Dallol		2009-02-17	1,2,3,4	1			2009-02-17		
3	-1078402	-1600077	16.416163	9.502119	16:24:58N	9:30:08E	32QND5361015036	NE32-15	L	RGN		NG	01				N				BARASSAS	Barassas	Barassas	BARASSAS	Barassas	Barassas		2008-12-15	1,2,3,4,5	1			1993-09-01		
1	10401437	10879728	16.226829	9.69109	16:13:37N	9:41:28E	32QNC7385894151	NE32-15	L	LCTY		NG	00				N				ICHKANEABDOU	Ichkâne Abdou	Ichkane Abdou	ICHKANEABDOU	Ichkâne Abdou	Ichkane Abdou		2008-12-15	1,2,3,4	1			2008-12-15		
1	10257981	10612225	13.691671	9.351294	13:41:30N	9:21:05E	32PNA3798713655	ND32-11	L	RESF		NG	07				N			Forêt Classée	FORETCLASSEEDEKISANBANA	Forêt Classée de Kisanbana	Foret Classee de Kisanbana	KISANBANA FORETCLASSEEDE	Kisanbana, Forêt Classée de	Kisanbana, Foret Classee de		2008-12-05	1,2,3,4,5	1			2008-12-05		
1	10258016	10870642	13.587195	9.412823	13:35:14N	9:24:46E	32PNA4466002111	ND32-11	L	LCTY		NG	07				N				DOUTCHIILELA	Doutchi Iléla	Doutchi Ilela	DOUTCHIILELA	Doutchi Iléla	Doutchi Ilela		2008-08-13	1,2,3,4,5	1			2008-12-05		
1	10258016	10612260	13.587195	9.412823	13:35:14N	9:24:46E	32PNA4466002111	ND32-11	L	LCTY		NG	07				V				DOUTCHILLELA	Doutchi Lléla	Doutchi Llela	DOUTCHILLELA	Doutchi Lléla	Doutchi Llela		2008-08-13	1,2,3,4,5				2008-12-05		
1	10455738	10974772	12.913709	3.916596	12:54:49N	3:55:00E	31PEQ9943527771	ND31-15	L	LCTY		NG	00				N				ANGOAMARAFA	Angoa Marafa	Angoa Marafa	ANGOAMARAFA	Angoa Marafa	Angoa Marafa		2009-03-17	1,2	1			2009-03-17		
3	-1084530	-1608524	17.110269	13.069514	17:06:37N	13:04:10E	33QTU9460192772	NE33-09	L	RGN		NG	02				N				MODJIGO	Modjigo	Modjigo	MODJIGO	Modjigo	Modjigo		2009-04-22	1,2,3,4,5,6,7,8,9	1			1993-09-01		
1	10473437	11011142	22.741077	13.837909	22:44:28N	13:50:16E	33QUF8067515325	NF33-06	L	LCTY		NG	01				N				AOUEHIDA	Aouehida	Aouehida	AOUEHIDA	Aouehida	Aouehida		2009-04-15	1,2,3,4,5,6,7	1			2009-04-15		
1	10480640	11023043	13.838415	5.182996	13:50:18N	5:10:59E	31PGR3595830931	ND31-12	L	LCTY		NG	06				N				MAGARIA	Magaria	Magaria	MAGARIA	Magaria	Magaria		2009-04-26	1,2,3,4	1			2009-04-22		
1	-1085936	-1610329	14.4822	8.1358	14:28:56N	8:08:09E	32PMB0686901232	ND32-06	L	LCTY		NG	07				V				TABKINBARGO	Tabkin Bargo	Tabkin Bargo	TABKINBARGO	Tabkin Bargo	Tabkin Bargo		2008-08-26	1,2,3,4,5				2008-08-26		
1	-1085936	-1610853	14.4822	8.1358	14:28:56N	8:08:09E	32PMB0686901232	ND32-06	L	LCTY		NG	07				N				TAPKINBARGO	Tapkin Bargo	Tapkin Bargo	TAPKINBARGO	Tapkin Bargo	Tapkin Bargo		2008-08-26	1,2,3,4,5	1			2008-08-26		
1	10513871	11080352	16.576277	10.395048	16:34:35N	10:23:42E	32QPD4883533199	NE32-15	L	LCTY		NG	07				N				DJINKEBI	Djinkebi	Djinkebi	DJINKEBI	Djinkebi	Djinkebi		2009-06-09	1,2,3,4	1			2009-06-09		
1	10520333	11089167	18.223954	14.284191	18:13:26N	14:17:03E	33QVA2431715111	NE33-06	L	LCTY		NG	01				N				AGRAOURI	Agraouri	Agraouri	AGRAOURI	Agraouri	Agraouri		2009-06-16	1,2,3,4	1			2009-06-16		
1	10520334	11089169	18.967998	14.694604	18:58:05N	14:41:41E	33QVA6785197314	NE33-06	L	LCTY		NG	01				N				ERIGUIDI	Eriguidi	Eriguidi	ERIGUIDI	Eriguidi	Eriguidi		2009-06-16	1,2,3,4	1			2009-06-16		
3	6334663	6546809	16.252756	10.268544	16:15:10N	10:16:07E	32QPC3556197314	NE32-15	L	AREA		NG	07				N				GUEGUINE	Gueguine	Gueguine	GUEGUINE	Gueguine	Gueguine		2009-06-09	1,2,3,4	1			1993-09-01		
1	10545019	11145565	18.073775	11.764172	18:04:26N	11:45:51E	32QQF9259300539	NE32-08	L	LCTY		NG	01				N				IBRACHIMA	Ibrachima	Ibrachima	IBRACHIMA	Ibrachima	Ibrachima		2009-07-30	1,2,3,4	1			2009-07-30		
1	6334652	6546793	21.198416	8.233906	21:11:54N	8:14:02E	32QMJ2048544299	NF32-10	L	AREA		NG	01				N				TINKERADET	Ti-n-Keradet	Ti-n-Keradet	TINKERADET	Ti-n-Keradet	Ti-n-Keradet		2009-08-14	1,2,3,4	1			1993-09-01		
1	10276202	10647330	16.3273	7.8171	16:19:38N	7:49:02E	32QLD7364005507	NE32-14	L	AREA		NG	01				N				AMEZEDER	Amézédér	Amezeder	AMEZEDER	Amézédér	Amezeder		2008-09-02	1,2,3,4	1			2010-11-09		
1	10471855	11008210	20.390788	12.999214	20:23:27N	12:59:57E	33QTC9119655997	NF33-13	L	AREA		NG	01				N				KOURIZO	Kourizo	Kourizo	KOURIZO	Kourizo	Kourizo		2012-02-09	1,2,3,4	1			2009-04-13		
1	10471960	11008224	20.525032	13.976015	20:31:30N	13:58:34E	33QUC9324169918	NF33-14	L	LCTY		NG	01				N				DAOTIGUIMI	Dao Tiguimi	Dao Tiguimi	DAOTIGUIMI	Dao Tiguimi	Dao Tiguimi		2012-02-09	1,2,3,4	1			2009-04-13		
1	10486608	11033867	22.481495	13.622957	22:28:53N	13:37:23E	33QUE5833686774	NF33-06	L	BSNP		NG	01				N				KIRINA	Kirina	Kirina	KIRINA	Kirina	Kirina		2012-02-09	1,2,3,4	1			2009-04-29		
1	10519369	11087528	21.07743	14.660173	21:04:39N	14:39:37E	33QVD6470030755	NF33-10	L	LCTY		NG	01				N				ASSARABIDI	Assarabidi	Assarabidi	ASSARABIDI	Assarabidi	Assarabidi		2012-02-09	1,2,3,4	1			2009-06-11		
1	10593463	11245593	20.030327	12.871435	20:01:49N	12:52:17E	33QTC7734416254	NF33-13	L	LCTY		NG	01				N				ALBALA	Albala	Albala	ALBALA	Albala	Albala		2012-02-09	1,2,3,4	1			2009-09-18		
