RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	10166877	10451237	13.321256	10.449981	13:19:17N	10:27:00E	32PPV5704873121	ND32-11	P	PPL		NG	07				N				BOURBOURWA	Bourbourwa	Bourbourwa	BOURBOURWA	Bourbourwa	Bourbourwa		2008-04-10	1,2,3,4	1			2015-04-20		
1	10166884	10451244	13.411867	10.3991	13:24:43N	10:23:57E	32PPV5148083112	ND32-11	P	PPL		NG	07				N				MAYNARI	Maynari	Maynari	MAYNARI	Maynari	Maynari		2008-04-10	1,2,3,4	1			2008-04-10		
1	10166886	10451246	13.431941	10.410949	13:25:55N	10:24:39E	32PPV5275085340	ND32-11	P	PPL		NG	07				N				KATIKA	Katika	Katika	KATIKA	Katika	Katika		2008-04-10	1,2,3,4	1			2008-04-10		
3	10167172	10451532	13.382451	10.96879	13:22:57N	10:58:08E	32PQV1320480278	ND32-12	P	PPL		NG	02				N				DJIDJIGADORI	Djidji Gadori	Djidji Gadori	DJIDJIGADORI	Djidji Gadori	Djidji Gadori		2008-04-10	1,2,3,4	1			2015-04-22		
3	10167174	10451534	13.432487	10.902765	13:25:57N	10:54:10E	32PQV0600985758	ND32-12	P	PPL		NG	02				N				GOUMAGOUMADJI	Gouma Goumadji	Gouma Goumadji	GOUMAGOUMADJI	Gouma Goumadji	Gouma Goumadji		2008-04-10	1,2,3,4	1			2015-04-22		
3	10167176	10451536	13.460795	10.926521	13:27:39N	10:55:35E	32PQV0855888911	ND32-12	P	PPL		NG	02				N				DYARAMIDI	Dyaramidi	Dyaramidi	DYARAMIDI	Dyaramidi	Dyaramidi		2008-04-10	1,2,3,4	1			2015-04-22		
3	10167177	10451537	13.497736	10.940043	13:29:52N	10:56:24E	32PQV0999093010	ND32-12	P	PPL		NG	02				N				MAYNAKIRIDI	Mayna Kiridi	Mayna Kiridi	MAYNAKIRIDI	Mayna Kiridi	Mayna Kiridi		2008-04-10	1,2,3,4	1			2015-04-22		
1	10167179	10451539	13.542205	10.952031	13:32:32N	10:57:07E	32PQV1124997940	ND32-12	P	PPL		NG	02				N				BELBELWA	Belbelwa	Belbelwa	BELBELWA	Belbelwa	Belbelwa		2008-04-10	1,2,3,4	1			2008-04-10		
1	-1085097	-1609226	13.57297	10.231887	13:34:23N	10:13:55E	32PPA3328400836	ND32-11	P	PPL		NG	07				V				OUARME	Ouarmé	Ouarme	OUARME	Ouarmé	Ouarme		2008-04-10	1,2,3,4,5				2008-04-10		
1	-1085097	-1612485	13.57297	10.231887	13:34:23N	10:13:55E	32PPA3328400836	ND32-11	P	PPL		NG	07				N				WARME	Warmé	Warme	WARME	Warmé	Warme		2008-04-10	1,2,3,4,5	1			2008-04-10		
3	10217716	10533651	13.314227	11.669695	13:18:51N	11:40:11E	32PQV8923173438	ND32-12	P	PPL		NG	02				N				BOUGDOUMA	Bougdouma	Bougdouma	BOUGDOUMA	Bougdouma	Bougdouma		2008-07-01	1,2,3,4	1			2008-07-01		
3	10218837	10535447	13.393352	11.690184	13:23:36N	11:41:25E	32PQV9135782221	ND32-12	P	PPL		NG	02				N				KASOULWA	Kasoulwa	Kasoulwa	KASOULWA	Kasoulwa	Kasoulwa		2008-07-07	1,2,3,4	1			2008-07-07		
1	10218291	10534549	14.242436	13.074444	14:14:33N	13:04:28E	33PTR9224375398	ND33-05	P	PPL		NG	02				N				NDALGUE	Ndalgué	Ndalgue	NDALGUE	Ndalgué	Ndalgue		2008-07-03	1,2,3,4	1			2008-07-03		
3	10214722	10529590	13.644905	11.454631	13:38:42N	11:27:17E	32PQA6555209798	ND32-12	P	PPL		NG	02				N				GOUMSOUMARAM	Goumsoumaram	Goumsoumaram	GOUMSOUMARAM	Goumsoumaram	Goumsoumaram		2008-06-25	1,2,3,4	1			2008-06-25		
3	10214723	10529591	13.666289	11.476014	13:39:59N	11:28:34E	32PQA6784312188	ND32-12	P	PPL		NG	02				N				GADAWA	Gadawa	Gadawa	GADAWA	Gadawa	Gadawa		2008-06-25	1,2,3,4	1			2008-06-25		
